n, execTime
1000003, 0.000276
2000003, 0.000562
4000037, 0.001089
8000009, 0.002210
16000057, 0.004346
32000011, 0.009139
64000031, 0.021269
128000003, 0.037317
256000001, 0.079249
512000009, 0.157374
1024000009, 0.309297
2048000011, 0.569276
